Date,Temp_1,Temp_2
1/1/81,21.66,21.62
1/2/81,17.9,16.48
1/3/81,18.91,18.2
1/4/81,14.8,15.54
1/5/81,15.8,16.39
1/6/81,16.45,15.8
1/7/81,15.98,14.05
1/8/81,16.44,18.04
1/9/81,21.21,21.8
1/10/81,20.05,20.21
1/11/81,16.2,16.2
1/12/81,13.3,13.3
1/13/81,16.7,16.7
1/14/81,21.82,19.72
1/15/81,25.44,24.52
1/16/81,20.7,20.7
1/17/81,20.6,20.03
1/18/81,24.8,25.16
1/19/81,17.7,17.68
1/20/81,15.5,17.06
1/21/81,18.2,18.89
1/22/81,11.22,12.22
1/23/81,14.4,13.57
1/24/81,16.34,16.43
1/25/81,16.5,16.5
1/26/81,17.88,18.06
1/27/81,19.4,19.4
1/28/81,17.08,17.2
1/29/81,15.28,15.53
1/30/81,14.76,14.48
1/31/81,15.94,14.64
2/1/81,15.3,14.57
2/2/81,17.95,18.8
2/3/81,22.75,20.42
2/4/81,20.25,20.25
2/5/81,16.79,17.23
2/6/81,16.65,15.36
2/7/81,13.93,14.25
2/8/81,16.58,16.07
2/9/81,25,24.95
2/10/81,15,15.79
2/11/81,13.74,13.7
2/12/81,13.12,13.38
2/13/81,18.51,17.47
2/14/81,22,22
2/15/81,22.2,22.1
2/16/81,21.03,19.91
2/17/81,18.4,18.34
2/18/81,16.43,18.13
2/19/81,15.34,15.74
2/20/81,15.7,16.73
2/21/81,17.03,18.45
2/22/81,16.49,15.07
2/23/81,13.74,14.4
2/24/81,15.37,14.4
2/25/81,19.37,17.55
2/26/81,16.33,17.71
2/27/81,18.26,17.5
2/28/81,20.53,21.06
3/1/81,17.8,18.41
3/2/81,19.28,19.39
3/3/81,16.03,17.99
3/4/81,16,14.12
3/5/81,12.53,13.3
3/6/81,14.91,12.71
3/7/81,11.4,12.48
3/8/81,16.3,16.3
3/9/81,15.2,17.22
3/10/81,12.22,13.61
3/11/81,12.75,13.32
3/12/81,14.7,15.98
3/13/81,11.8,11.8
3/14/81,11.3,10.66
3/15/81,11.47,10.6
3/16/81,12.04,11.02
3/17/81,14.2,13.43
3/18/81,11.05,9.49
3/19/81,16.9,15.24
3/20/81,16.7,17.76
3/21/81,8.1,8.1
3/22/81,8.02,8
3/23/81,9.74,9.08
3/24/81,14.3,12.93
3/25/81,10.41,11.11
3/26/81,13.4,12.63
3/27/81,10.13,10.92
3/28/81,15.65,16.5
3/29/81,14.84,15.18
3/30/81,13.84,14.88
3/31/81,15.8,14.84
4/1/81,16.07,17.24
4/2/81,17.36,18.41
4/3/81,17.75,17.58
4/4/81,17.77,17.82
4/5/81,17.68,17.92
4/6/81,16.84,16.84
4/7/81,10,9.12
4/8/81,14.9,13.34
4/9/81,15.5,15.9
4/10/81,13.64,13.93
4/11/81,6.96,8.36
4/12/81,11.28,11.07
4/13/81,14.5,13.63
4/14/81,13.46,14.3
4/15/81,12.68,13.74
4/16/81,12.1,13.09
4/17/81,12.4,12.74
4/18/81,13.2,12.49
4/19/81,13.8,12.92
4/20/81,11.28,11.42
4/21/81,9.34,9
4/22/81,10,10.69
4/23/81,9.87,10.62
4/24/81,11.56,9.52
4/25/81,8.81,9.63
4/26/81,7.05,6.71
4/27/81,10.72,8.48
4/28/81,9.72,9.23
4/29/81,10.63,9.9
4/30/81,7.4,6.65
5/1/81,8.13,8.52
5/2/81,11.9,11.11
5/3/81,14.91,14.56
5/4/81,8.13,9.26
5/5/81,10,9.72
5/6/81,13.5,14.6
5/7/81,12,11.85
5/8/81,10.5,9.27
5/9/81,10.43,10.73
5/10/81,7.68,6.64
5/11/81,10.17,10.1
5/12/81,10.32,9.11
5/13/81,4.75,5.23
5/14/81,7.36,6.19
5/15/81,8.5,8.16
5/16/81,11.83,13.06
5/17/81,9.8,9.77
5/18/81,6.77,6.57
5/19/81,3.96,5.14
5/20/81,2.1,2.56
5/21/81,3.47,4.38
5/22/81,4.9,5.4
5/23/81,8.73,9.6
5/24/81,11.5,12.3
5/25/81,12.3,11.37
5/26/81,12.14,12.6
5/27/81,11,10.36
5/28/81,10.78,11.48
5/29/81,11.4,11.4
5/30/81,11.75,12.72
5/31/81,13.69,11.35
6/1/81,11.6,13.4
6/2/81,10.6,10.46
6/3/81,9.55,9.8
6/4/81,11.2,11.98
6/5/81,5.7,5.48
6/6/81,8.04,7.01
6/7/81,3.29,2.99
6/8/81,4.04,4.95
6/9/81,5,4.17
6/10/81,11,10.34
6/11/81,5.7,6.62
6/12/81,7.7,8.28
6/13/81,9.93,9.45
6/14/81,11.46,10.94
6/15/81,9.2,9.2
6/16/81,6.1,6.38
6/17/81,2.48,1.71
6/18/81,4.3,4.11
6/19/81,6.3,6.3
6/20/81,3.7,2.23
6/21/81,4.4,4.03
6/22/81,7.33,7.35
6/23/81,4.07,4.03
6/24/81,5.37,5.8
6/25/81,6.2,5.27
6/26/81,6.45,5.53
6/27/81,8.53,7.73
6/28/81,9.32,9.99
6/29/81,8.77,9.14
6/30/81,9.5,11.5
7/1/81,10.68,9.76
7/2/81,10.44,10.04
7/3/81,6.5,6.5
7/4/81,6.35,6.34
7/5/81,8.32,7.4
7/6/81,7.45,10.01
7/7/81,7.02,7.97
7/8/81,9.07,7.83
7/9/81,8.9,8.41
7/10/81,3.67,4.6
7/11/81,5.84,6.56
7/12/81,4.89,6.59
7/13/81,5.67,4.92
7/14/81,6.08,6.25
7/15/81,6.85,6.73
7/16/81,6.2,7.36
7/17/81,8.8,8.8
7/18/81,5,4.54
7/19/81,6.44,7.4
7/20/81,10.48,9.7
7/21/81,12.48,11.05
7/22/81,9,9
7/23/81,8.9,8.89
7/24/81,9.54,9.91
7/25/81,9,8.43
7/26/81,9.4,9.44
7/27/81,7.91,7.3
7/28/81,7.04,8.06
7/29/81,6.1,4.88
7/30/81,3.45,3.5
7/31/81,2.8,3.49
8/1/81,5.87,4.79
8/2/81,7.78,7.7
8/3/81,9,10.01
8/4/81,9.55,10
8/5/81,6.2,6.14
8/6/81,7.69,7.75
8/7/81,5.71,7.12
8/8/81,6.8,6.35
8/9/81,7,5.45
8/10/81,5.2,5.2
8/11/81,2.07,2.67
8/12/81,6.03,5.6
8/13/81,7.9,6.74
8/14/81,9.42,9.92
8/15/81,8.22,7.7
8/16/81,10.74,10.3
8/17/81,10.5,10.89
8/18/81,7.6,8.32
8/19/81,9.7,10.44
8/20/81,12.5,11.76
8/21/81,7.55,7.4
8/22/81,8.37,8.81
8/23/81,3.47,3.56
8/24/81,7.52,6.29
8/25/81,4.6,6.44
8/26/81,7,7.32
8/27/81,6,5.61
8/28/81,4.72,5.91
8/29/81,7.74,8.32
8/30/81,4.74,4.41
8/31/81,6.87,5.65
9/1/81,8,8
9/2/81,10.47,10.3
9/3/81,9.8,9.93
9/4/81,9.82,8.93
9/5/81,8.5,7.56
9/6/81,6.68,7.19
9/7/81,11.2,10.24
9/8/81,14.58,14.6
9/9/81,10.87,13.47
9/10/81,8.15,7.8
9/11/81,12.3,11.25
9/12/81,9.67,9.74
9/13/81,12.42,12.49
9/14/81,7.79,7.2
9/15/81,10.9,10.83
9/16/81,14.1,14.33
9/17/81,11.01,11.35
9/18/81,16.88,17.72
9/19/81,10.5,10.5
9/20/81,6.5,6.25
9/21/81,11,11.35
9/22/81,6.3,8.03
9/23/81,10.73,10.48
9/24/81,7.2,6.18
9/25/81,7.6,8.37
9/26/81,10.7,9.33
9/27/81,6.99,7.63
9/28/81,9.62,9.6
9/29/81,11.06,11.98
9/30/81,11.88,14.06
10/1/81,9.71,9.68
10/2/81,13.2,13.2
10/3/81,8.41,8.22
10/4/81,6.2,6.2
10/5/81,11.78,12.68
10/6/81,13.1,14.03
10/7/81,14.55,14.3
10/8/81,6.96,6.56
10/9/81,13.34,13.14
10/10/81,7.01,8.95
10/11/81,6.2,7.01
10/12/81,5.38,6.07
10/13/81,10,10.56
10/14/81,13.3,13.3
10/15/81,9.21,8.48
10/16/81,9.61,9.35
10/17/81,8.6,9.17
10/18/81,7.3,5.45
10/19/81,10.91,10.53
10/20/81,11.66,9.99
10/21/81,12.27,13.2
10/22/81,11.4,11.4
10/23/81,8.25,9.61
10/24/81,5.62,5.68
10/25/81,8.66,8.4
10/26/81,9.7,9.7
10/27/81,13.02,12.09
10/28/81,13.4,12.5
10/29/81,10.73,10.76
10/30/81,11,11.43
10/31/81,11.63,11.01
11/1/81,9.16,9.2
11/2/81,11.33,12.12
11/3/81,13.6,11.91
11/4/81,13.05,13.7
11/5/81,10.4,10.4
11/6/81,11.04,11.5
11/7/81,8.58,6.86
11/8/81,9.6,8.92
11/9/81,13.35,14.24
11/10/81,15.7,16.34
11/11/81,10.8,11.24
11/12/81,10.5,10.5
11/13/81,9.7,10.49
11/14/81,9.46,9.5
11/15/81,11.72,12.28
11/16/81,7.91,9.9
11/17/81,8.4,9.62
11/18/81,11.9,11.9
11/19/81,11.7,11.7
11/20/81,13.86,13.14
11/21/81,12.6,12.73
11/22/81,10.1,10.1
11/23/81,15.8,17.66
11/24/81,13,12.57
11/25/81,11.9,11.05
11/26/81,9.42,11.17
11/27/81,13.19,13.82
11/28/81,17.8,17.8
11/29/81,15,14.57
11/30/81,13.54,14.31
12/1/81,13.4,14.25
12/2/81,9.57,12.39
12/3/81,13.54,16.17
12/4/81,11.5,11.31
12/5/81,13.5,12.05
