Date,Temp
1/1/81,21.66
1/2/81,17.90
1/3/81,18.91
1/4/81,14.80
1/5/81,15.80
1/6/81,16.45
1/7/81,15.98
1/8/81,16.44
1/9/81,21.21
1/10/81,20.05
1/11/81,16.20
1/12/81,13.30
1/13/81,16.70
1/14/81,21.82
1/15/81,25.44
1/16/81,20.70
1/17/81,20.60
1/18/81,24.80
1/19/81,17.70
1/20/81,15.50
1/21/81,18.20
1/22/81,11.22
1/23/81,14.40
1/24/81,16.34
1/25/81,16.50
1/26/81,17.88
1/27/81,19.40
1/28/81,17.08
1/29/81,15.28
1/30/81,14.76
1/31/81,15.94
2/1/81,15.30
2/2/81,17.95
2/3/81,22.75
2/4/81,20.25
2/5/81,16.79
2/6/81,16.65
2/7/81,13.93
2/8/81,16.58
2/9/81,25.00
2/10/81,15.00
2/11/81,13.74
2/12/81,13.12
2/13/81,18.51
2/14/81,22.00
2/15/81,22.20
2/16/81,21.03
2/17/81,18.40
2/18/81,16.43
2/19/81,15.34
2/20/81,15.70
2/21/81,17.03
2/22/81,16.49
2/23/81,13.74
2/24/81,15.37
2/25/81,19.37
2/26/81,16.33
2/27/81,18.26
2/28/81,20.53
3/1/81,17.80
3/2/81,19.28
3/3/81,16.03
3/4/81,16.00
3/5/81,12.53
3/6/81,14.91
3/7/81,11.40
3/8/81,16.30
3/9/81,15.20
3/10/81,12.22
3/11/81,12.75
3/12/81,14.70
3/13/81,11.80
3/14/81,11.30
3/15/81,11.47
3/16/81,12.04
3/17/81,14.20
3/18/81,11.05
3/19/81,16.90
3/20/81,16.70
3/21/81,8.10
3/22/81,8.02
3/23/81,9.74
3/24/81,14.30
3/25/81,10.41
3/26/81,13.40
3/27/81,10.13
3/28/81,15.65
3/29/81,14.84
3/30/81,13.84
3/31/81,15.80
4/1/81,16.07
4/2/81,17.36
4/3/81,17.75
4/4/81,17.77
4/5/81,17.68
4/6/81,16.84
4/7/81,10.00
4/8/81,14.90
4/9/81,15.50
4/10/81,13.64
4/11/81,6.96
4/12/81,11.28
4/13/81,14.50
4/14/81,13.46
4/15/81,12.68
4/16/81,12.10
4/17/81,12.40
4/18/81,13.20
4/19/81,13.80
4/20/81,11.28
4/21/81,9.34
4/22/81,10.00
4/23/81,9.87
4/24/81,11.56
4/25/81,8.81
4/26/81,7.05
4/27/81,10.72
4/28/81,9.72
4/29/81,10.63
4/30/81,7.40
5/1/81,8.13
5/2/81,11.90
5/3/81,14.91
5/4/81,8.13
5/5/81,10.00
5/6/81,13.50
5/7/81,12.00
5/8/81,10.50
5/9/81,10.43
5/10/81,7.68
5/11/81,10.17
5/12/81,10.32
5/13/81,4.75
5/14/81,7.36
5/15/81,8.50
5/16/81,11.83
5/17/81,9.80
5/18/81,6.77
5/19/81,3.96
5/20/81,2.10
5/21/81,3.47
5/22/81,4.90
5/23/81,8.73
5/24/81,11.50
5/25/81,12.30
5/26/81,12.14
5/27/81,11.00
5/28/81,10.78
5/29/81,11.40
5/30/81,11.75
5/31/81,13.69
6/1/81,11.60
6/2/81,10.60
6/3/81,9.55
6/4/81,11.20
6/5/81,5.70
6/6/81,8.04
6/7/81,3.29
6/8/81,4.04
6/9/81,5.00
6/10/81,11.00
6/11/81,5.70
6/12/81,7.70
6/13/81,9.93
6/14/81,11.46
6/15/81,9.20
6/16/81,6.10
6/17/81,2.48
6/18/81,4.30
6/19/81,6.30
