Date,Temp
1/1/81,20.92
1/2/81,17.22
1/3/81,18.88
1/4/81,13.90
1/5/81,15.80
1/6/81,14.51
1/7/81,15.80
1/8/81,16.93
1/9/81,22.55
1/10/81,20.00
1/11/81,16.14
1/12/81,13.53
1/13/81,16.70
1/14/81,20.00
1/15/81,25.00
1/16/81,20.26
1/17/81,20.80
1/18/81,24.81
1/19/81,16.92
1/20/81,14.95
1/21/81,17.48
1/22/81,12.10
1/23/81,16.11
1/24/81,16.66
1/25/81,16.50
1/26/81,18.70
1/27/81,19.77
1/28/81,17.85
1/29/81,14.17
1/30/81,15.33
1/31/81,16.78
2/1/81,16.19
2/2/81,19.64
2/3/81,21.90
2/4/81,20.20
2/5/81,16.61
2/6/81,16.80
2/7/81,15.00
2/8/81,17.31
2/9/81,26.74
2/10/81,16.89
2/11/81,12.93
2/12/81,14.60
2/13/81,18.40
2/14/81,21.94
2/15/81,22.65
2/16/81,20.28
2/17/81,20.24
2/18/81,16.60
2/19/81,16.10
2/20/81,15.63
2/21/81,16.88
2/22/81,16.77
2/23/81,15.16
2/24/81,13.94
2/25/81,19.03
2/26/81,14.94
2/27/81,17.95
2/28/81,21.68
3/1/81,18.26
3/2/81,18.45
3/3/81,15.19
3/4/81,16.00
3/5/81,13.11
3/6/81,14.30
3/7/81,11.40
3/8/81,17.54
3/9/81,14.37
3/10/81,11.80
3/11/81,12.54
3/12/81,14.51
3/13/81,13.77
3/14/81,12.63
3/15/81,10.52
3/16/81,12.41
3/17/81,12.69
3/18/81,10.81
3/19/81,18.20
3/20/81,16.70
3/21/81,8.19
3/22/81,6.30
3/23/81,9.31
3/24/81,12.67
3/25/81,11.21
3/26/81,14.34
3/27/81,10.47
3/28/81,15.00
3/29/81,17.15
3/30/81,14.50
3/31/81,14.53
4/1/81,15.93
4/2/81,18.12
4/3/81,17.20
4/4/81,17.11
4/5/81,18.59
4/6/81,16.58
4/7/81,9.50
4/8/81,15.27
4/9/81,14.76
4/10/81,12.64
4/11/81,7.58
4/12/81,10.54
4/13/81,13.50
4/14/81,13.00
4/15/81,12.75
4/16/81,12.10
4/17/81,11.27
4/18/81,13.72
4/19/81,14.44
4/20/81,10.69
4/21/81,9.10
4/22/81,10.00
4/23/81,9.80
4/24/81,11.50
4/25/81,9.10
4/26/81,8.27
4/27/81,9.90
4/28/81,9.72
4/29/81,10.19
4/30/81,7.41
5/1/81,7.85
5/2/81,12.82
5/3/81,14.00
5/4/81,8.73
5/5/81,9.64
5/6/81,13.00
5/7/81,12.00
5/8/81,10.50
5/9/81,10.89
5/10/81,8.10
5/11/81,10.10
5/12/81,10.60
5/13/81,4.38
5/14/81,7.45
5/15/81,8.43
5/16/81,11.20
5/17/81,9.02
5/18/81,7.78
5/19/81,2.37
5/20/81,2.18
5/21/81,3.40
5/22/81,5.78
5/23/81,9.23
5/24/81,10.58
5/25/81,11.24
5/26/81,11.97
5/27/81,11.62
5/28/81,12.12
5/29/81,11.98
5/30/81,13.56
5/31/81,12.80
6/1/81,11.60
6/2/81,10.60
6/3/81,9.80
6/4/81,11.58
6/5/81,6.19
6/6/81,5.55
6/7/81,1.68
6/8/81,3.50
6/9/81,5.39
6/10/81,10.32
6/11/81,4.03
6/12/81,7.82
6/13/81,11.76
6/14/81,11.40
6/15/81,9.20
6/16/81,7.25
6/17/81,0.94
6/18/81,5.26
6/19/81,6.33
6/20/81,4.01
6/21/81,3.59
6/22/81,6.36
6/23/81,6.24
6/24/81,6.71
6/25/81,7.56
6/26/81,7.43
6/27/81,10.40
6/28/81,11.02
6/29/81,9.27
6/30/81,8.62
7/1/81,10.07
7/2/81,10.00
7/3/81,6.01
7/4/81,7.00
7/5/81,7.69
7/6/81,9.00
